category,pattern,name,complexity,url
new,Basic Binary Search,Binary Search to find X in sorted array,TC: O(log n) | SC: O(1),https://leetcode.com/problems/binary-search/
easy,Boundary Binary Search,Implement Lower Bound,TC: O(log n) | SC: O(1),https://www.geeksforgeeks.org/problems/implement-lower-bound/1
easy,Boundary Binary Search,Implement Upper Bound,TC: O(log n) | SC: O(1),https://www.geeksforgeeks.org/problems/implement-upper-bound/1
easy,Boundary Binary Search,Search Insert Position,TC: O(log n) | SC: O(1),https://leetcode.com/problems/search-insert-position/description/
easy,Boundary Binary Search,Floor/Ceil in Sorted Array,TC: O(log n) | SC: O(1),https://www.geeksforgeeks.org/problems/floor-in-a-sorted-array-1587115620/1
new,Boundary Binary Search,Find the first or last occurrence of a given number in a sorted array,TC: O(log n) | SC: O(1),https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/
medium,Boundary Binary Search,Count occurrences of a number in a sorted array with duplicates,TC: O(log n) | SC: O(1),https://www.geeksforgeeks.org/problems/number-of-occurrence2259/1
medium - imp,Rotated Array Binary Search,Search in Rotated Sorted Array I,TC: O(log n) | SC: O(1),https://leetcode.com/problems/search-in-rotated-sorted-array/
medium,Rotated Array Binary Search,Search in Rotated Sorted Array II,TC: O(log n) | SC: O(1),https://leetcode.com/problems/search-in-rotated-sorted-array-ii/
medium - imp,Rotated Array Binary Search,Find minimum in Rotated Sorted Array,TC: O(log n) | SC: O(1),https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/
medium,Rotated Array Binary Search,Find out how many times has an array been rotated,TC: O(log n) | SC: O(1),https://www.geeksforgeeks.org/problems/rotation4723/1
medium,Rotated Array Binary Search,Single element in a Sorted Array,TC: O(log n) | SC: O(1),https://leetcode.com/problems/single-element-in-a-sorted-array/
medium,Peak Element Binary Search,Find peak element,TC: O(log n) | SC: O(1),https://leetcode.com/problems/find-peak-element/description/
new,Optimization Binary Search,Find square root of a number in log n,TC: O(log n) | SC: O(1),https://www.geeksforgeeks.org/problems/square-root/1
medium,Optimization Binary Search,Find the Nth root of a number using binary search,TC: O(log n) | SC: O(1),https://www.geeksforgeeks.org/problems/find-nth-root-of-m5843/1
medium,Optimization Binary Search,Koko Eating Bananas,TC: O(n log m) | SC: O(1),https://leetcode.com/problems/koko-eating-bananas/
medium,Optimization Binary Search,Minimum days to make M bouquets,TC: O(n log m) | SC: O(1),https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/
medium,Optimization Binary Search,Find the smallest Divisor,TC: O(n log m) | SC: O(1),https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold/
medium,Optimization Binary Search,Capacity to Ship Packages within D Days,TC: O(n log m) | SC: O(1),https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/
medium,Optimization Binary Search,Kth Missing Positive Number,TC: O(log n) | SC: O(1),https://leetcode.com/problems/kth-missing-positive-number/description/
new,Optimization Binary Search,Aggressive Cows,TC: O(n log n) | SC: O(1),https://www.geeksforgeeks.org/problems/aggressive-cows/1
medium,Optimization Binary Search,Book Allocation Problem,TC: O(n log m) | SC: O(1),https://www.geeksforgeeks.org/problems/allocate-minimum-number-of-pages0937/1
medium,Optimization Binary Search,Split array - Largest Sum,TC: O(n log m) | SC: O(1),https://leetcode.com/problems/split-array-largest-sum/
medium,Optimization Binary Search,Painter's partition,TC: O(n log m) | SC: O(1),https://www.geeksforgeeks.org/problems/the-painters-partition-problem1535/1
hard,Optimization Binary Search,Minimize Max Distance to Gas Station,TC: O(n log m) | SC: O(1),https://www.geeksforgeeks.org/problems/minimize-max-distance-to-gas-station/1
medium - imp,Advanced Binary Search,Median of 2 sorted arrays,TC: O(log(m+n)) | SC: O(1),https://leetcode.com/problems/median-of-two-sorted-arrays/
medium,Advanced Binary Search,Kth element of 2 sorted arrays,TC: O(log(m+n)) | SC: O(1),https://www.geeksforgeeks.org/problems/k-th-element-of-two-sorted-array1317/1
new,2D Binary Search,Find the row with maximum number of 1's,TC: O(n log m) | SC: O(1),https://www.geeksforgeeks.org/problems/row-with-minimum-number-of-1s5430/1
medium,2D Binary Search,Search in a 2 D matrix,TC: O(log(m×n)) | SC: O(1),https://leetcode.com/problems/search-a-2d-matrix/
medium,2D Binary Search,Search in a row and column wise sorted matrix,TC: O(m+n) | SC: O(1),https://leetcode.com/problems/search-a-2d-matrix-ii/
medium - imp,2D Binary Search,Find Peak Element (2D Matrix),TC: O(n log m) | SC: O(1),https://leetcode.com/problems/find-a-peak-element-ii/
hard,2D Binary Search,Matrix Median,TC: O(n log m) | SC: O(1),https://www.geeksforgeeks.org/problems/median-in-a-row-wise-sorted-matrix1527/1
