category,pattern,name,complexity,url
new,Graph Traversal,Number of provinces (BFS|DFS),TC: O(n) | SC: O(1),https://leetcode.com/problems/number-of-provinces/description/
medium,Graph Traversal,Number of Island | Connected Components (BFS|DFS),TC: O(n) | SC: O(1),https://www.geeksforgeeks.org/problems/connected-components-in-an-undirected-graph/1
medium,DFS/BFS,Flood fill,TC: O(m×n) | SC: O(m×n),https://leetcode.com/problems/flood-fill/
medium,DFS/BFS,Surrounded Regions,TC: O(m×n) | SC: O(m×n),https://leetcode.com/problems/surrounded-regions/
medium,DFS/BFS,Number of Enclaves,TC: O(m×n) | SC: O(m×n),https://leetcode.com/problems/number-of-enclaves/
medium,DFS/BFS,Number of Distinct Islands,TC: O(m×n) | SC: O(m×n),https://leetcode.com/problems/number-of-distinct-islands-ii/
medium,DFS/BFS,Making a Large Island,TC: O(m×n) | SC: O(m×n),https://leetcode.com/problems/making-a-large-island/
medium,BFS,Rotten Oranges,TC: O(m×n) | SC: O(m×n),https://leetcode.com/problems/rotting-oranges/
medium,BFS,0/1 Matrix,TC: O(m×n) | SC: O(m×n),https://leetcode.com/problems/01-matrix/
medium,BFS,Word ladder - 1,TC: O(n×l²) | SC: O(n×l),https://leetcode.com/problems/word-ladder/
medium,BFS with Path,Word ladder - 2,TC: O(n×l²) | SC: O(n×l),https://leetcode.com/problems/word-ladder-ii/
medium,Cycle Detection,Detech cycle in unirected Graph (BFS|DFS),TC: O(n) | SC: O(1),https://www.geeksforgeeks.org/problems/detect-cycle-in-an-undirected-graph/1
medium,Cycle Detection,Detect Cycle in Directed Graph (bfs|dfs|topo sort),TC: O(n) | SC: O(1),https://leetcode.com/problems/course-schedule-ii/discuss/293048/detecting-cycle-in-directed-graph-problem
medium,Graph Coloring,Bipartite Graph (bfs|dfs),TC: O(n) | SC: O(1),https://leetcode.com/problems/is-graph-bipartite/
new,Topological Sort,Topo Sort,TC: O(V+E) | SC: O(V),https://www.geeksforgeeks.org/problems/topological-sort/1
medium,Topological Sort,Kahn's Algorithm,TC: O(V+E) | SC: O(V),https://www.geeksforgeeks.org/topological-sorting-indegree-based-solution/
medium,Topological Sort,Course Schedule - I,TC: O(V+E) | SC: O(V),https://leetcode.com/problems/course-schedule/
medium,Topological Sort,Course Schedule - II,TC: O(V+E) | SC: O(V),https://leetcode.com/problems/course-schedule-ii/
medium,Topological Sort,Find eventual safe states (dfs|bfs|topo sort),TC: O(n) | SC: O(1),https://leetcode.com/problems/find-eventual-safe-states/description/
medium,Topological Sort,Alien dictionary,TC: O(V+E) | SC: O(V),https://www.geeksforgeeks.org/problems/alien-dictionary/1
new,Shortest Path,Djisktra's Algorithm (priority queue|set|print shortest path),TC: O(n) | SC: O(1),https://www.geeksforgeeks.org/problems/implementing-dijkstra-set-1-adjacency-matrix/1
medium,Shortest Path,Shortest Path in directed acylic graph,TC: O(V+E) | SC: O(V),https://www.geeksforgeeks.org/problems/shortest-path-in-undirected-graph/1
medium,Shortest Path,Shortest Path in directed graph with unit weights,TC: O(V+E) | SC: O(V),https://www.geeksforgeeks.org/problems/shortest-path-in-undirected-graph-having-unit-distance/1
medium,Shortest Path,Shortest path in a binary maze,TC: O(m×n) | SC: O(m×n),https://leetcode.com/problems/shortest-path-in-binary-matrix/
medium,Shortest Path,Path with minimum effort,TC: O((m×n) log(m×n)) | SC: O(m×n),https://leetcode.com/problems/path-with-minimum-effort/
medium,Shortest Path,Cheapest flights within k stops,TC: O(k×E log V) | SC: O(V),https://leetcode.com/problems/cheapest-flights-within-k-stops/
